[0:00 - 0:02]  الحمد الله رب العالمين
[39:31 - 39:32]  علىظه
[39:32 - 39:34]  مش عولك ساعة 40 دي
[39:34 - 39:35]  يعني تعوص طاعد دي
[39:35 - 39:37]  أو استان 40 دي
[39:37 - 39:38]  ساعة التي تلت دن كواف
[39:38 - 39:39]  عبول مخلص
[39:39 - 39:41]  لو تارف إنك بتاع مليه
[39:41 - 39:43]  دم تيكت عدد دي كده
[39:43 - 39:45]  من الوضع من الناس ويبل صللي
[39:45 - 39:47]  وتتأمى للسطرة
[39:47 - 39:49]  يا الله ما أجمل للسطرة
[39:49 - 39:51]  التي بين يديك
[39:51 - 39:53]  ترعفين للسطرة ديك
[39:53 - 39:55]  بتبدا من امتى
[39:55 - 39:57]  بتبدا من موضع
[39:57 - 39:58]  مقامك أن تواف
[39:58 - 40:00]  بتحط السطرة دي
[40:00 - 40:01]  يعني حاجة استورك
[40:01 - 40:02]  حاجة كده إيب من مقدر شبر
[40:02 - 40:03]  ونت طالع كده
[40:03 - 40:04]  ما يشي
[40:04 - 40:05]  ارتفاحها شبر
[40:05 - 40:07]  يعني خلينا نقول
[40:07 - 40:09]  حطت الشنتة بتاعت حضذك
[40:09 - 40:10]  أو انتي بتصلي
[40:10 - 40:11]  أو انت لو لك شنتة دك بتحطها
[40:11 - 40:12]  والدامك كده
[40:12 - 40:13]  والدامك فين
[40:13 - 40:15]  يعني بعد سجودة قرات
[40:15 - 40:16]  ويانت تزجود
[40:16 - 40:17]  اي تباي بينك
[40:17 - 40:18]  وبين سجودة سجودة
[40:18 - 40:19]  ويسجودة كما فيشي
[40:19 - 40:21]  يعني حاجة بصيطة خاص
[40:21 - 40:22]  يعني الكلام ده
[40:22 - 40:24]  الموضع دادة لأتي أجمع
[40:24 - 40:26]  لو نعأول محط السطرة
[40:26 - 40:27]  إلي بين ريجلي
[40:27 - 40:28]  وبين الشنتني
[40:28 - 40:29]  وبين السطرة
[40:29 - 40:30]  دائسمي
[40:30 - 40:31]  صار حرم
[40:32 - 40:34]  صار موضع لقاء كبلا
[40:34 - 40:36]  مهوك من شوية أرض عديو
[40:36 - 40:37]  نظري حاجية
[40:37 - 40:40]  لكن لم وقفت بين يدهي
[40:40 - 40:42]  لا صارت له قدسية
[40:44 - 40:46]  صارت له قدسية
[40:46 - 40:47]  الموقع دمز جد لق
[40:47 - 40:49]  الموقع دبقى
[40:49 - 40:50]  جمع بقى جامع لق
[40:50 - 40:52]  الموضع دائما
[40:52 - 40:53]  دو ديك
[40:53 - 40:54]  هذا و ديك
[40:54 - 40:57]  الذي طولاق فيه الله سبحانه وتعالى
[40:57 - 41:01]  وإن كان من بجوارك لا يشعر بشيئة
[41:01 - 41:03]  أعرفت موضع السطرة ده
[41:03 - 41:04]  مجرد
[41:04 - 41:07]  مطرف عطول الله هو أكبر
[41:07 - 41:09]  المكان دبى أمحمي
[41:09 - 41:12]  المكان دبى خراص حراصة خاصة
[41:12 - 41:14]  المكان دمحد شعدي
[41:14 - 41:16]  المكان دقت تتال
[41:16 - 41:17]  المكان دى
[41:17 - 41:18]  مخدين بلكم
[41:20 - 41:23]  العمق داف مهب مول
[41:23 - 41:25]  بصار هذا و ديك
[41:25 - 41:28]  تبقى أول ما خلص صلاة
[41:28 - 41:29]  أو السلام عليكم
[41:29 - 41:30]  مرحمة الله
[41:30 - 41:31]  السلام عليكم
[41:31 - 41:32]  مرحمة الله
[41:32 - 41:34]  عاد كل شيء كما كان
[41:34 - 41:36]  كل شيء بعدين
[41:36 - 41:39]  لكن ما بين تكبيرت الإحرام
[41:39 - 41:41]  وبين السلام كان زمن
[41:41 - 41:43]  وما كان وحياتاً يخالص
[41:43 - 41:46]  تألى يستحق الحراصة والحماية
[41:46 - 41:48]  ألى يستحق
[41:48 - 41:50]  فلازم أل بكي يعرف الحددة
[41:50 - 41:52]  ويعرف المكان دى
[41:52 - 41:54]  أعرفه
[41:54 - 41:55]  إن صلاتك ليست
[41:55 - 41:57]  بلحما من مرور الأفكار
[41:57 - 41:58]  وخرغها
[41:58 - 41:59]  زي مكان
[41:59 - 42:01]  حامي
[42:01 - 42:03]  إن ناس لغيحة و جايا
[42:03 - 42:04]  و الكلام دو كله
[42:04 - 42:05]  فهان إحمي
[42:05 - 42:07]  حراصة المكان الصلاة
[42:07 - 42:08]  زي محراصة
[42:08 - 42:10]  هم يكون نبنحي أجوائي الصلاة
[42:10 - 42:12]  إتاني
[42:12 - 42:14]  إتاني بأن اختمي بكربع
[42:14 - 42:16]  شاء الله نختم السلسلة
[42:16 - 42:18]  الختم المبب دقي
[42:18 - 42:19]  قد برمضان
[42:19 - 42:20]  أنا أمي
[42:20 - 42:22]  كنت أتمنى لن نختم هاش
[42:22 - 42:23]  خاص
[42:23 - 42:26]  لكن أنا بأحب
[42:26 - 42:28]  فيشت عقلي
[42:28 - 42:30]  تفسي الأبدر مضان
[42:30 - 42:33]  يعني أوز أدخور مضان
[42:33 - 42:34]  و أنا
[42:34 - 42:37]  يعني
[42:37 - 42:39]  مختلف عن
[42:39 - 42:42]  المدن شكوم مطصل
[42:42 - 42:43]  من شعباتر لرمضان
[42:43 - 42:44]  فأس الله نحفظنا
[42:44 - 42:45]  و يكم
[42:45 - 42:46]  حفظا جميلة
[42:46 - 42:48]  و أن ينور كله بيننا
[42:48 - 42:50]  و ينور عبادتنا
[42:50 - 42:51]  و أن يحفظنا من
[42:51 - 42:52]  كل سوء
[42:52 - 42:54]  وأس الله سبحانه وتعالى
[42:54 - 42:55]  أن يرزر نو يكم
[42:55 - 42:56]  أسنا نعمل أسنا خلو
[42:56 - 42:57]  أختم قلو قلو
[42:57 - 42:58]  هذا وأستغفر الله لولكم
