[0:00 - 0:04]  أسلامانيكم ورحمة الله ومنعيكم
[45:05 - 45:07]  يوم تكون
[45:07 - 45:10]  في عرصات يوم القيامة
[45:10 - 45:12]  كل صلاة هي فرصة
[45:12 - 45:16]  لتخفيف المشهد هنا
[45:18 - 45:20]  وفي رابط نفسي
[45:20 - 45:22]  يوم كنساعدك على خشوة
[45:23 - 45:24]  يعني
[45:24 - 45:26]  لو ادى ان تهت عيش
[45:26 - 45:28]  لو ان تهت عشار سنة
[45:29 - 45:30]  وهت صل في العشر سنين
[45:30 - 45:31]  وهنو الأي رقب
[45:31 - 45:32]  أي رقب
[45:32 - 45:33]  أي رقب
[45:33 - 45:35]  حراص أنو المسان ألف صلاة
[45:35 - 45:37]  فالو يخلينا ويدعني للسنوات
[45:37 - 45:39]  خلينا ولي ان تهت عيش بالنقدار
[45:39 - 45:41]  ألف صلاة تعد دارك
[45:42 - 45:43]  عشان
[45:43 - 45:44]  عالف صلاة
[45:44 - 45:46]  عشان الخمسين
[45:46 - 45:47]  ألف صناة
[45:49 - 45:50]  يتخفيف وعلي
[45:50 - 45:52]  ويكونوا كما بين الضهر والعص
[45:53 - 45:55]  خمسين ألف صناة
[45:55 - 45:57]  عالى ألف يبكام
[45:59 - 46:01]  يلا جوب صراع عشان خلص معكم الليقة
[46:01 - 46:04]  خمسين ألف عالى ألف يبكام
[46:06 - 46:07]  خمسين
[46:08 - 46:09]  ماشي
[46:09 - 46:10]  خمسين
[46:10 - 46:11]  فخلينا نقول
[46:11 - 46:13]  خلينا نقول دلوقت
[46:13 - 46:14]  مثال
[46:14 - 46:16]  ورابت نفسي بمك
[46:16 - 46:17]  مش علاقة بالواقع
[46:17 - 46:18]  بس ده يسعدك انسان
[46:18 - 46:21]  لو قلت الحظرة كنت حد عيش
[46:21 - 46:23]  بما يوعايد الألف صلاة
[46:23 - 46:25]  يعني في ألف صلاة تعد دعلك
[46:26 - 46:28]  ويوم القيامة خمسين ألف سناة
[46:28 - 46:29]  كل صلاة
[46:29 - 46:30]  تصليها
[46:32 - 46:34]  و تصليها صحة
[46:34 - 46:35]  تسحب
[46:35 - 46:38]  وتخفيف خمسين سناة
[46:38 - 46:40]  الصلاة لبعادها خمسين
[46:40 - 46:41]  وبكنا تتخفيف عليكمية
[46:41 - 46:43]  يو بخمسين ألف سناة اللمية
[46:43 - 46:44]  كمان
[46:44 - 46:45]  نزل
[46:45 - 46:46]  نزل
[46:46 - 46:47]  نزل
[46:47 - 46:48]  نزل
[46:48 - 46:49]  نزل
[46:49 - 46:50]  اللغات مطوصد ما بين الدهر والاص
[46:50 - 46:52]  هنا تفهم يعني
[46:52 - 46:54]  كل صلاة فرصة ديدة
[46:54 - 46:56]  تهو ان بها على نفسك
[46:56 - 46:58]  عرصات يوم القيامة
[46:59 - 47:01]  فكل مرة كسل
[47:01 - 47:04]  ولا انت مش حملة تستحن ال50 سناة
[47:04 - 47:05]  هزياد
[47:05 - 47:06]  لا يعمن جز
[47:07 - 47:09]  شنك لرحيم الله
[47:09 - 47:10]  العبد الموافق
[47:10 - 47:12]  اللي كلام من خلص
[47:12 - 47:14]  لا مفدرس يتتعلينا في درسة
[47:14 - 47:15]  نزل
[47:15 - 47:16]  خلصنا كتاب الدهر
[47:16 - 47:17]  ودواء
[47:17 - 47:18]  ونختمنا الكتاب
[47:18 - 47:19]  يروح طلع لنا تاني في الصلاة
[47:19 - 47:20]  ابن القيام بيولئ
[47:20 - 47:22]  وبي بين العلقدي
[47:22 - 47:24]  يقول ل العبد
[47:24 - 47:26]  بين يدي الله موقفين
[47:26 - 47:29]  موقف بين يديه في الصلاة
[47:29 - 47:32]  وموقف بين يديه يوم لقائه
[47:32 - 47:34]  بقول كل واحد لي
[47:34 - 47:36]  وقفتين
[47:36 - 47:37]  وقف في الدنيا
[47:37 - 47:38]  بين في الصلاة
[47:38 - 47:40]  وقف هناك يوم القيامة
[47:40 - 47:41]  بين يدي الله
[47:41 - 47:44]  فمن قام بحق الموقف الأول
[47:44 - 47:47]  هو نعليه الموقف الآخر
[47:47 - 47:49]  ومن استهان بهذا الموقف
[47:49 - 47:51]  ولم يوقف حق
[47:51 - 47:54]  شدد عليه ذلك الموقف
[47:54 - 47:55]  قال تعالى
[47:55 - 47:57]  ومن اللي لفسدد له
[47:57 - 48:00]  وسبح لي لنطويلة
[48:00 - 48:01]  وسبح هنا أمره
[48:01 - 48:02]  صح
[48:02 - 48:04]  فوزد له دعم
[48:04 - 48:07]  لي إنها أولا يحبون العاجلة
[48:07 - 48:10]  ويذرون وراءهم يوم تقيلة
[48:10 - 48:12]  فهذا اليوم السقيل
[48:12 - 48:14]  يوخففه
[48:14 - 48:16]  ما زفع عليته
[48:16 - 48:18]  ما فعالته أنت من صلاة
[48:18 - 48:20]  فأس الله نحفظكم
[48:20 - 48:22]  بحفظه الجميل
[48:22 - 48:24]  ويسددكم
[48:24 - 48:27]  ويقرب إليكم
[48:27 - 48:29]  كل عسير
[48:29 - 48:31]  وأس الله سبحانه وتعالى
[48:31 - 48:33]  أن يهبعليكم
[48:33 - 48:34]  متع
[48:34 - 48:35]  الصلاة
[48:35 - 48:36]  وأن يقرعي
[48:36 - 48:38]  عيناكم بالصلاة
[48:38 - 48:40]  وأن تلزو نبيها
[48:40 - 48:43]  أجمل تلزوز بعد التوحيد
[48:43 - 48:45]  يكون في قلوبكم
[48:45 - 48:47]  هو تلزوكم بالصلاة
[48:47 - 48:49]  أس الله سبحانه
[48:49 - 48:51]  تعالى أن يجعلها الصلاة لكم
[48:51 - 48:52]  في الدنيا
[48:52 - 48:54]  وصرة لكم في البرضة
[48:54 - 48:55]  وصرة لكم في الأخرى
[48:55 - 48:58]  بكل عطايا وهبات الربجل على
[48:58 - 49:00]  طيغ الله قلوبكم
[49:00 - 49:01]  يسر الله أموركم
[49:01 - 49:03]  وأس الله سبحانه وتعالى لي
[49:03 - 49:04]  ولكم حسنا العمل
[49:04 - 49:05]  وحسنا خلق
[49:05 - 49:06]  حسنا ختم
[49:06 - 49:07]  أقوى قول هذا
[49:07 - 49:09]  وأستدفر الله لكم
